timestamp,sensor,x,y,z
1778964781964,Accelerometer,-2.6910002,-8.554951,-1.9780501
1778964781978,Accelerometer,0.0139500005,-9.40305,-2.0719502
1778964781978,Gyroscope,-0.019524999,-0.536525,0.1342
1778964782003,Accelerometer,0.29895002,-9.92205,-2.49795
1778964782027,Accelerometer,-1.4260501,-9.1710005,-2.4499502
1778964782043,Accelerometer,-2.7960002,-8.610001,-2.49495
1778964782060,Accelerometer,-2.83695,-8.686951,-2.6940002
1778964782060,Gyroscope,-0.0928125,-0.4472875,0.501875
1778964782080,Accelerometer,-2.5129502,-9.73995,-2.2800002
1778964782092,Accelerometer,-2.013,-9.967951,-3.2380502
1778964782119,Accelerometer,-1.47195,-10.450951,-2.8590002
1778964782134,Accelerometer,-1.9219501,-10.31505,-2.50005
1778964782134,Gyroscope,0.0122375,-0.7148625,0.872025
1778964782158,Accelerometer,-0.9670501,-9.384001,-3.3049502
1778964782178,Accelerometer,-1.3450501,-10.803,-2.9650502
1778964782197,Accelerometer,-1.6710001,-11.598001,-2.52705
1778964782211,Accelerometer,-2.2810502,-12.0390005,-3.4290001
1778964782211,Gyroscope,0.28105,-0.5438125,1.8127999
1778964782236,Accelerometer,-2.523,-12.4480505,-3.7069502
1778964782259,Accelerometer,-2.97105,-13.305,-3.4510503
1778964782276,Accelerometer,-2.53305,-15.016951,-2.8189502
1778964782292,Accelerometer,0.00705,-15.661051,-3.5629501
1778964782292,Gyroscope,0.6732,-0.807675,2.2697124
1778964782313,Accelerometer,2.29305,-16.650002,-4.74405
1778964782330,Accelerometer,4.56495,-17.90505,-6.25005
1778964782353,Accelerometer,4.5370502,-17.740051,-5.328
1778964782377,Accelerometer,3.0550501,-17.05995,-3.17805
1778964782377,Gyroscope,-0.1293875,-2.4349875,2.864675
1778964782397,Accelerometer,-1.44105,-16.420052,-3.0030003
1778964782410,Accelerometer,-2.3719501,-18.444,0.40800002
1778964782430,Accelerometer,-7.3000503,-12.11295,-3.66105
1778964782445,Accelerometer,0.31800002,-5.8660502,-2.0310001
1778964782445,Gyroscope,0.4778125,1.2117875,2.969725
1778964782469,Accelerometer,5.025,-2.6170502,-2.325
1778964782489,Accelerometer,4.5030003,-0.69000006,-2.5840502
1778964782508,Accelerometer,2.7580502,0.33600003,-2.5410001
1778964782524,Accelerometer,2.50605,-0.67995006,-1.8610501
1778964782525,Gyroscope,-0.3419625,0.99549997,-2.49865
1778964782546,Accelerometer,1.83405,-3.1900501,-0.09195001
1778964782566,Accelerometer,0.88995004,-5.4139504,-0.120000005
1778964782590,Accelerometer,0.177,-7.1860504,-0.72105
1778964782608,Accelerometer,-0.064050004,-8.674951,-1.07595
1778964782609,Gyroscope,0.184525,1.0175,-5.847325
1778964782627,Accelerometer,-1.5370501,-9.82695,-1.13505
