timestamp,time_sec,sensor,x,y,z
1780861787141,100.192,Accelerometer,-23.893051,16.842001,9.183001
1780861787861,100.912,Accelerometer,-7.1359506,14.4199505,-2.1649501
1780861788421,101.472,Accelerometer,-24.05895,19.324951,9.942
1780861789681,102.732,Accelerometer,-22.134,18.624,8.41695
1780861790501,103.552,Accelerometer,-7.4500504,2.9920502,2.0719502
1780861790921,103.972,Accelerometer,-18.139952,18.82995,8.938951
1780861791681,104.732,Accelerometer,-8.901,6.63105,1.38705
1780861792101,105.152,Accelerometer,-32.568,30.895952,20.56995
1780861792761,105.812,Accelerometer,-11.527051,15.913951,-2.87295
1780861793286,106.337,Accelerometer,-29.307001,26.99595,21.625952
1780861793904,106.955,Accelerometer,-8.31705,16.629002,-1.65495
1780861794422,107.473,Accelerometer,-33.481953,35.99895,29.66295
1780861795062,108.113,Accelerometer,-7.87095,16.570051,-1.7149501
1780861795603,108.654,Accelerometer,-38.733,23.587051,12.115951
1780861796222,109.273,Accelerometer,-9.739051,16.026001,-1.176
1780861796769,109.82,Accelerometer,-40.516052,30.214052,15.231001
1780861797410,110.461,Accelerometer,-5.3479505,15.729001,-3.6829503
1780861797922,110.973,Accelerometer,-41.34495,29.589,17.632051
1780861798633,111.684,Accelerometer,-10.73295,6.0880504,1.3800001
1780861799047,112.098,Accelerometer,-31.07805,31.76295,28.030052
1780861799783,112.834,Accelerometer,-11.781,5.709,2.17995
1780861800184,113.235,Accelerometer,-27.174002,30.288002,30.831001
1780861800963,114.014,Accelerometer,-6.8370004,4.05705,-0.112950005
1780861801371,114.422,Accelerometer,-26.508001,23.319,14.27805
1780861801991,115.042,Accelerometer,-6.7819505,19.279951,-2.7580502
1780861802544,115.595,Accelerometer,-49.26705,25.038002,13.188001
1780861803188,116.239,Accelerometer,-7.6990504,16.816051,-2.8300502
1780861803725,116.776,Accelerometer,-41.536053,26.90805,17.038052
1780861804383,117.434,Accelerometer,-7.3060503,16.723051,-1.7479501
1780861804923,117.974,Accelerometer,-37.50495,27.61395,17.053051
1780861805604,118.655,Accelerometer,-9.18795,15.954,-3.8449502
1780861806124,119.175,Accelerometer,-30.123001,26.302052,12.08895
1780861806803,119.854,Accelerometer,-7.11,16.747051,-2.07795
1780861807334,120.385,Accelerometer,-30.826952,26.278051,14.218051
1780861808024,121.075,Accelerometer,-9.78195,14.364,-2.6149502
1780861808570,121.621,Accelerometer,-31.942951,23.22495,10.840051
1780861809345,122.396,Accelerometer,-10.002001,4.7710505,3.28095
1780861809788,122.839,Accelerometer,-36.40605,30.433952,18.879002
1780861810464,123.515,Accelerometer,-6.50895,15.468,-2.469
1780861811028,124.079,Accelerometer,-19.996052,18.69795,17.344952
1780861811744,124.795,Accelerometer,-7.2349505,16.546051,-1.4440501
1780861812325,125.376,Accelerometer,-28.85205,21.466051,12.127951
