timestamp,time_sec,sensor,x,y,z,time_to_prev_strike_sec
1780861791136,104.869,Accelerometer,-15.481951,4.5930004,1.00395,0.2150000000000034
1780861792101,105.834,Accelerometer,-32.568,30.895952,20.56995,0.9650000000000034
1780861792894,106.627,Accelerometer,-14.6650505,2.9940002,-3.6790502,0.7929999999999922
1780861793286,107.019,Accelerometer,-29.307001,26.99595,21.625952,0.3920000000000101
1780861793890,107.623,Accelerometer,-19.834951,12.637951,-0.78900003,0.6039999999999992
1780861794422,108.155,Accelerometer,-33.481953,35.99895,29.66295,0.5319999999999965
1780861795067,108.8,Accelerometer,-22.473001,11.60595,-2.0050502,0.644999999999996
1780861795603,109.336,Accelerometer,-38.733,23.587051,12.115951,0.5360000000000014
1780861796382,110.115,Accelerometer,-18.19905,7.07805,-2.53695,0.7789999999999964
1780861796769,110.502,Accelerometer,-40.516052,30.214052,15.231001,0.38700000000000045
1780861797374,111.107,Accelerometer,-20.677052,12.196951,-1.0500001,0.605000000000004
1780861797922,111.655,Accelerometer,-41.34495,29.589,17.632051,0.5480000000000018
1780861798593,112.326,Accelerometer,-24.144001,19.09995,-9.123,0.6709999999999923
1780861799047,112.78,Accelerometer,-31.07805,31.76295,28.030052,0.45400000000000773
1780861799843,113.576,Accelerometer,-13.549951,5.742,-13.368001,0.7959999999999923
1780861800184,113.917,Accelerometer,-27.174002,30.288002,30.831001,0.3410000000000082
1780861800832,114.565,Accelerometer,-21.10395,12.87705,-1.6720501,0.6479999999999961
1780861801371,115.104,Accelerometer,-26.508001,23.319,14.27805,0.5390000000000015
1780861801999,115.732,Accelerometer,-22.51905,12.111001,-0.83400005,0.6280000000000001
1780861802544,116.277,Accelerometer,-49.26705,25.038002,13.188001,0.5450000000000017
1780861803161,116.894,Accelerometer,-27.838951,13.066951,1.5640501,0.6170000000000044
1780861803725,117.458,Accelerometer,-41.536053,26.90805,17.038052,0.563999999999993
1780861804329,118.062,Accelerometer,-19.80105,12.075001,-0.28395,0.6039999999999992
1780861804923,118.656,Accelerometer,-37.50495,27.61395,17.053051,0.5940000000000083
1780861805538,119.271,Accelerometer,-17.851952,14.25195,0.34305,0.6149999999999949
1780861806124,119.857,Accelerometer,-30.123001,26.302052,12.08895,0.5859999999999985
1780861806720,120.453,Accelerometer,-21.160952,12.85305,0.45495003,0.5960000000000036
1780861807334,121.067,Accelerometer,-30.826952,26.278051,14.218051,0.6139999999999901
1780861807928,121.661,Accelerometer,-19.46595,12.940051,0.14400001,0.5940000000000083
1780861808570,122.303,Accelerometer,-31.942951,23.22495,10.840051,0.6419999999999959
1780861809129,122.862,Accelerometer,-17.04795,13.720051,0.59205,0.5589999999999975
1780861809788,123.521,Accelerometer,-36.40605,30.433952,18.879002,0.659000000000006
1780861810547,124.28,Accelerometer,-18.535051,5.802,2.8540502,0.7590000000000003
1780861811028,124.761,Accelerometer,-19.996052,18.69795,17.344952,0.48099999999999454
1780861811558,125.291,Accelerometer,-19.858952,13.366051,3.0600002,0.5300000000000011
