step_number,timestamp_ms,timestamp_utc,delta_ms,speed_spm,accel_magnitude
136,1778964703088,2026-05-16T20:51:43.088000+00:00,1107,54.200542005420054,24.913464287196412
137,1778964703289,2026-05-16T20:51:43.289000+00:00,201,298.5074626865672,21.44549038558233
138,1778964704254,2026-05-16T20:51:44.254000+00:00,965,62.17616580310881,23.708015295892444
139,1778964705070,2026-05-16T20:51:45.070000+00:00,816,73.52941176470588,21.529997946552626
140,1778964705512,2026-05-16T20:51:45.512000+00:00,442,135.74660633484163,25.703614580173564
141,1778964706240,2026-05-16T20:51:46.240000+00:00,728,82.41758241758242,21.475130855202732
142,1778964706599,2026-05-16T20:51:46.599000+00:00,359,167.13091922005572,25.69199613131103
143,1778964706800,2026-05-16T20:51:46.800000+00:00,201,298.5074626865672,23.22366904927344
144,1778964707400,2026-05-16T20:51:47.400000+00:00,600,100.0,23.11538467964014
145,1778964707765,2026-05-16T20:51:47.765000+00:00,365,164.3835616438356,25.229202380519364
146,1778964708567,2026-05-16T20:51:48.567000+00:00,802,74.81296758104739,20.52065520783277
147,1778964708977,2026-05-16T20:51:48.977000+00:00,410,146.34146341463415,28.878079672563096
148,1778964710086,2026-05-16T20:51:50.086000+00:00,1109,54.10279531109107,24.47648822590796
149,1778964710874,2026-05-16T20:51:50.874000+00:00,788,76.14213197969544,23.386397888090293
150,1778964711249,2026-05-16T20:51:51.249000+00:00,375,160.0,24.135593217302553
151,1778964712028,2026-05-16T20:51:52.028000+00:00,779,77.02182284980745,23.80206517658088
152,1778964712472,2026-05-16T20:51:52.472000+00:00,444,135.13513513513513,27.188595201482993
153,1778964713192,2026-05-16T20:51:53.192000+00:00,720,83.33333333333333,22.822709380097056
154,1778964713547,2026-05-16T20:51:53.547000+00:00,355,169.01408450704224,22.111487080418176
155,1778964714745,2026-05-16T20:51:54.745000+00:00,1198,50.08347245409015,24.703092227953388
156,1778964715522,2026-05-16T20:51:55.522000+00:00,777,77.22007722007721,24.437991643989506
157,1778964715949,2026-05-16T20:51:55.949000+00:00,427,140.5152224824356,22.782886763321965
158,1778964717076,2026-05-16T20:51:57.076000+00:00,1127,53.23868677905945,21.80029308797137
159,1778964717289,2026-05-16T20:51:57.289000+00:00,213,281.6901408450704,32.5267614096492
160,1778964717871,2026-05-16T20:51:57.871000+00:00,582,103.09278350515464,24.618916786588745
161,1778964718220,2026-05-16T20:51:58.220000+00:00,349,171.91977077363896,26.63998156362765
162,1778964718441,2026-05-16T20:51:58.441000+00:00,221,271.49321266968326,48.95403965265592
163,1778964719000,2026-05-16T20:51:59+00:00,559,107.3345259391771,22.265653497082905
164,1778964719351,2026-05-16T20:51:59.351000+00:00,351,170.94017094017093,23.55972027645914
165,1778964720129,2026-05-16T20:52:00.129000+00:00,778,77.12082262210797,22.67077243996025
166,1778964720495,2026-05-16T20:52:00.495000+00:00,366,163.9344262295082,24.833742187252025
167,1778964721661,2026-05-16T20:52:01.661000+00:00,1166,51.45797598627787,24.716842255577575
168,1778964722807,2026-05-16T20:52:02.807000+00:00,1146,52.35602094240838,23.50874123559705
169,1778964723973,2026-05-16T20:52:03.973000+00:00,1166,51.45797598627787,22.74991381972677
170,1778964725139,2026-05-16T20:52:05.139000+00:00,1166,51.45797598627787,24.27929915955698
171,1778964726322,2026-05-16T20:52:06.322000+00:00,1183,50.718512256973796,24.216951029008605
172,1778964727489,2026-05-16T20:52:07.489000+00:00,1167,51.41388174807198,25.63515910319265
173,1778964727703,2026-05-16T20:52:07.703000+00:00,214,280.3738317757009,14.982298820591286
174,1778964728305,2026-05-16T20:52:08.305000+00:00,602,99.66777408637874,20.49364344446599
175,1778964728635,2026-05-16T20:52:08.635000+00:00,330,181.8181818181818,23.96851113405595
176,1778964728878,2026-05-16T20:52:08.878000+00:00,243,246.91358024691357,38.80447783703577
177,1778964729491,2026-05-16T20:52:09.491000+00:00,613,97.87928221859707,22.680642335195035
178,1778964729840,2026-05-16T20:52:09.840000+00:00,349,171.91977077363896,25.90237369835832
179,1778964730640,2026-05-16T20:52:10.640000+00:00,800,75.0,20.522462379736503
180,1778964730986,2026-05-16T20:52:10.986000+00:00,346,173.41040462427745,24.33796270697283
181,1778964732152,2026-05-16T20:52:12.152000+00:00,1166,51.45797598627787,25.043956364667924
182,1778964733298,2026-05-16T20:52:13.298000+00:00,1146,52.35602094240838,23.350873485716853
183,1778964734109,2026-05-16T20:52:14.109000+00:00,811,73.98273736128236,21.43464838020212
184,1778964734464,2026-05-16T20:52:14.464000+00:00,355,169.01408450704224,23.455555958929857
185,1778964734678,2026-05-16T20:52:14.678000+00:00,214,280.3738317757009,24.547704921338372
186,1778964735631,2026-05-16T20:52:15.631000+00:00,953,62.95907660020986,20.623141274518566
187,1778964735844,2026-05-16T20:52:15.844000+00:00,213,281.6901408450704,14.01472612053803
188,1778964736895,2026-05-16T20:52:16.895000+00:00,1051,57.08848715509039,24.411700611415853
189,1778964738073,2026-05-16T20:52:18.073000+00:00,1178,50.93378607809847,24.05276422360767
190,1778964739238,2026-05-16T20:52:19.238000+00:00,1165,51.502145922746784,22.06218524159518
191,1778964740447,2026-05-16T20:52:20.447000+00:00,1209,49.62779156327544,22.420269648411903
192,1778964741710,2026-05-16T20:52:21.710000+00:00,1263,47.50593824228029,22.053269276930436
193,1778964742968,2026-05-16T20:52:22.968000+00:00,1258,47.69475357710652,23.025130593281858
194,1778964744198,2026-05-16T20:52:24.198000+00:00,1230,48.78048780487805,23.422863125297365
195,1778964745425,2026-05-16T20:52:25.425000+00:00,1227,48.899755501222494,21.118585916036636
196,1778964746853,2026-05-16T20:52:26.853000+00:00,1428,42.016806722689076,20.34503741677417
197,1778964747931,2026-05-16T20:52:27.931000+00:00,1078,55.65862708719852,20.841332001622884
198,1778964749185,2026-05-16T20:52:29.185000+00:00,1254,47.84688995215311,22.52667137779557
